Subject Name:	S144	
Subject Birth Date:	18/10/2013	
Test Date:	04/05/2015	
Observer:		
Condition:	N-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	Total	1	2	Total	
Stim. Name	spin-une-bamoule-N	cart-elle-doripe-V	cart-elle-doripe-V	spin-une-bamoule-N	spin-une-bamoule-N	cart-elle-doripe-V	cart-elle-doripe-V		cart-une-bamoule-N	cart-une-bamoule-N		
Center Mon. File	peng_spin_nv.mov	peng_cart_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_cart_nv.mov		peng_cart_nv.mov	peng_cart_nv.mov		
Sound File	une_bamoule.wav	elle_doripe.wav	elle_doripe.wav	une_bamoule.wav	une_bamoule.wav	elle_doripe.wav	elle_doripe.wav		une_bamoule.wav	une_bamoule.wav		
Trial Duration	0.1	0.1	0.1	37.1	0.1	0.1	0.1	37.5	0.1	0.1	0.1	
AG On Time	37.9	1.4	1.2	1.3	1.0	2.9	3.2	48.9	1.6	1.0	2.6	
AG Latency	0.4	0.5	0.6	0.7	3.3	0.6	0.6	6.6	0.4	0.4	0.9	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	30.0	6.4	12.3	36.4	5.6	12.3	4.2	107.1	15.1	14.5	29.6	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	30.0	6.4	12.3	36.4	5.6	12.3	4.2	107.1	15.1	14.5	29.6	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	7	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	7	1	1	2	
