Subject Name:	S123	
Subject Birth Date:	28/08/2013	
Test Date:	14/03/2015	
Observer:		
Condition:	V-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	Total	1	2	Total	
Stim. Name	cart-une-bamoule-N	spin-elle-doripe-V	cart-une-bamoule-N	spin-elle-doripe-V	spin-elle-doripe-V		cart-elle-doripe-V	cart-elle-doripe-V		
Center Mon. File	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov		peng_cart_nv.mov	peng_cart_nv.mov		
Sound File	une_bamoule.wav	elle_doripe.wav	une_bamoule.wav	elle_doripe.wav	elle_doripe.wav		elle_doripe.wav	elle_doripe.wav		
Trial Duration	37.1	37.2	0.1	0.1	0.1	74.5	0.1	0.1	0.1	
AG On Time	52.3	2.2	1.3	1.0	1.8	58.6	1.8	1.6	3.4	
AG Latency	0.5	0.3	0.4	0.3	0.5	2.0	0.4	0.3	0.7	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	36.5	36.7	17.2	30.7	5.4	126.5	25.6	31.6	57.2	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	36.5	36.7	17.2	30.7	5.4	126.5	25.6	31.6	57.2	
Left Looks	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	5	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	5	1	1	2	
