Subject Name:	S114	
Subject Birth Date:	09/09/2013	
Test Date:	09/03/2015	
Observer:		
Condition:	V-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	8	Total	1	2	Total	
Stim. Name	cart-elle-doripe-V	spin-une-bamoule-N	cart-elle-doripe-V	spin-une-bamoule-N	cart-elle-doripe-V	spin-une-bamoule-N	cart-elle-doripe-V	spin-une-bamoule-N		spin-elle-doripe-V	spin-elle-doripe-V		
Center Mon. File	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov		peng_spin_nv.mov	peng_spin_nv.mov		
Sound File	elle_doripe.wav	une_bamoule.wav	elle_doripe.wav	une_bamoule.wav	elle_doripe.wav	une_bamoule.wav	elle_doripe.wav	une_bamoule.wav		elle_doripe.wav	elle_doripe.wav		
Trial Duration	0.1	0.1	0.1	0.1	0.1	37.1	0.1	0.1	37.6	0.1	0.1	0.1	
AG On Time	32.9	1.2	1.6	2.5	2.3	1.9	1.8	1.5	45.8	3.9	3.9	7.8	
AG Latency	0.2	0.5	0.5	0.4	0.3	0.4	0.4	0.3	3.0	0.3	0.3	0.6	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	23.9	33.4	33.3	33.7	26.4	36.6	16.0	7.1	210.3	10.8	12.9	23.8	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	23.9	33.4	33.3	33.7	26.4	36.6	16.0	7.1	210.3	10.8	12.9	23.8	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	1	8	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	1	8	1	1	2	
